zinc_id,smiles
ZINC000066079823,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C(C)C)c1ccccc1C(=O)N2C
ZINC000064633932,CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C
ZINC000066066277,COc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C
ZINC000066099139,COc1cc(C(=O)NCCN(C)C)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C
ZINC000066066278,COc1cc(N2CCOCC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C
ZINC000066077084,COc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C
ZINC000066077086,Cc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C
ZINC000066077088,CN1C(=O)c2ccccc2N(C)c2nc(Nc3ccc(S(N)(=O)=O)cc3)ncc21
ZINC000066098542,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C
ZINC000001554390,Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1
ZINC000003816409,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
ZINC000052509448,CNC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1cccc(CN(C)C)c1)c1ccccc1
ZINC000066078252,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccc(Cl)cc1C(=O)N2C
ZINC000066079601,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1cc(F)ccc1C(=O)N2C
ZINC000261146269,CS(=O)(=O)CCCOc1cccc2c1ccn2-c1ccnc(N[C@@H]2CC[C@@H](C(=O)N3CCC(O)CC3)CC2)n1
ZINC000066079600,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccc(C)cc1C(=O)N2C
ZINC000096270216,CCOc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)c1ccccc1C(=O)N2C
ZINC000005932684,Cn1cc(C2=C(c3cccc(NC[C@H](O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21
ZINC000012501080,Cn1cc(C2=C(c3cccc(NC[C@@H](O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21
